task,iter,attack_acc,cv_acc,auc
4,11,0.6523,0.2941,0.7314
4,12,0.543,0.1843,0.5607
4,13,0.5742,0.149,0.6008
4,14,0.6289,0.1608,0.6364
4,15,0.6211,0.2314,0.6903
4,16,0.5938,0.1765,0.6154
4,17,0.5039,0.098,0.5174
4,18,0.582,0.1451,0.601
4,19,0.543,0.0902,0.5913
4,20,0.5,0.2196,0.5101
4,11,0.6875,0.251,0.7778
4,12,0.7344,0.6667,0.7901
4,13,0.4766,0.098,0.4898
4,14,0.4844,0.098,0.519
4,15,0.5859,0.1608,0.5988
4,16,0.5938,0.1725,0.641
4,17,0.4609,0.098,0.4509
4,18,0.5117,0.1176,0.5141
4,19,0.5312,0.102,0.5497
4,20,0.5391,0.0745,0.5538
