task,iter,attack_acc,cv_acc,auc
2,11,0.492,0.1,0.5137
2,12,0.512,0.104,0.5312
2,13,0.516,0.106,0.5447
2,14,0.504,0.106,0.5115
2,15,0.51,0.104,0.5202
2,16,0.53,0.084,0.52
2,17,0.488,0.112,0.4897
2,18,0.528,0.096,0.5436
2,19,0.49,0.104,0.4815
2,20,0.492,0.096,0.4915
2,11,0.496,0.1,0.5143
2,12,0.528,0.1,0.5344
2,13,0.51,0.096,0.4967
2,14,0.454,0.086,0.4509
2,15,0.504,0.092,0.5201
2,16,0.518,0.102,0.5059
2,17,0.522,0.102,0.5377
2,18,0.522,0.09,0.5495
2,19,0.506,0.094,0.542
2,20,0.472,0.11,0.4858
