task,iter,attack_acc,cv_acc,auc
2,2,0.69,0.264,0.7735
2,3,0.622,0.218,0.6972
2,4,0.554,0.152,0.6121
2,5,0.57,0.194,0.6073
2,6,0.582,0.138,0.6139
2,7,0.536,0.15,0.5543
2,8,0.538,0.122,0.5868
2,9,0.552,0.11,0.5861
2,10,0.568,0.118,0.6067
2,2,0.636,0.224,0.7157
2,3,0.552,0.166,0.5678
2,4,0.566,0.142,0.6066
2,5,0.574,0.1,0.595
2,6,0.554,0.138,0.5731
2,7,0.496,0.122,0.5365
2,8,0.556,0.114,0.5585
2,9,0.546,0.102,0.5853
2,10,0.544,0.11,0.5749
2,2,0.688,0.256,0.7351
2,3,0.61,0.2,0.6414
2,4,0.562,0.152,0.5879
2,5,0.55,0.172,0.5608
2,6,0.546,0.126,0.5802
