task,iter,attack_acc,cv_acc,auc
3,11,0.7031,0.651,0.8196
3,12,0.6875,0.6824,0.7552
3,13,0.7031,0.5961,0.8102
3,14,0.5781,0.2745,0.6346
3,15,0.6328,0.2471,0.6534
3,16,0.6367,0.6078,0.6703
3,17,0.6562,0.4039,0.6967
3,18,0.5234,0.1216,0.5536
3,19,0.5547,0.0941,0.5607
3,20,0.5898,0.102,0.5501
3,11,0.6289,0.2824,0.6732
3,12,0.6445,0.3686,0.6924
3,13,0.6094,0.2235,0.6459
3,14,0.6367,0.2667,0.666
3,15,0.6055,0.1686,0.618
3,16,0.582,0.3843,0.6143
3,17,0.668,0.6588,0.7143
3,18,0.5586,0.2078,0.6007
3,19,0.5391,0.1608,0.5367
3,20,0.5625,0.0941,0.5665
