task,iter,attack_acc,cv_acc,auc
5,11,0.56,0.128,0.5822
5,12,0.554,0.084,0.5662
5,13,0.51,0.128,0.5095
5,14,0.54,0.144,0.5465
5,15,0.532,0.108,0.529
5,16,0.472,0.13,0.4581
5,17,0.536,0.104,0.5368
5,18,0.516,0.122,0.5035
5,19,0.498,0.094,0.4959
5,20,0.506,0.104,0.4896
5,11,0.556,0.102,0.5678
5,12,0.532,0.136,0.5503
5,13,0.548,0.136,0.5574
5,14,0.472,0.11,0.4526
5,15,0.502,0.102,0.4998
5,16,0.488,0.116,0.4704
5,17,0.488,0.108,0.4783
5,18,0.474,0.102,0.4734
5,19,0.496,0.1,0.5111
5,20,0.55,0.098,0.5375
