task,iter,attack_acc,cv_acc,auc
5,11,0.6875,0.5765,0.7481
5,12,0.6875,0.6627,0.754
5,13,0.707,0.6588,0.7749
5,14,0.6953,0.6353,0.7713
5,15,0.7109,0.6902,0.7686
5,16,0.5859,0.1176,0.6138
5,17,0.543,0.1961,0.5878
5,18,0.6016,0.1961,0.6583
5,19,0.5352,0.1176,0.5577
5,20,0.5859,0.1059,0.6006
5,11,0.6484,0.2627,0.7423
5,12,0.6797,0.2745,0.7495
5,13,0.6758,0.251,0.7362
5,14,0.75,0.349,0.8168
5,15,0.7578,0.6667,0.7996
5,16,0.4531,0.1059,0.3703
5,17,0.5,0.098,0.5735
5,18,0.5547,0.1137,0.6129
5,19,0.5586,0.1098,0.5945
5,20,0.5039,0.102,0.4517
