task,iter,attack_acc,cv_acc,auc
4,11,0.534,0.114,0.5347
4,12,0.536,0.16,0.5754
4,13,0.542,0.106,0.5647
4,14,0.568,0.092,0.5765
4,15,0.568,0.152,0.5814
4,16,0.564,0.114,0.5559
4,17,0.522,0.132,0.5288
4,18,0.482,0.118,0.4924
4,19,0.468,0.102,0.4551
4,20,0.57,0.106,0.5595
4,11,0.504,0.088,0.5044
4,12,0.54,0.106,0.5496
4,13,0.512,0.106,0.5193
4,14,0.506,0.106,0.528
4,15,0.52,0.102,0.5252
4,16,0.504,0.122,0.5096
4,17,0.47,0.118,0.4761
4,18,0.466,0.086,0.469
4,19,0.52,0.096,0.5166
4,20,0.502,0.094,0.5064
