task,iter,attack_acc,cv_acc,auc
8,11,0.6719,0.2784,0.6983
8,12,0.7148,0.2627,0.7097
8,13,0.4844,0.102,0.461
8,14,0.5,0.1294,0.5055
8,15,0.5078,0.1333,0.5017
8,16,0.5508,0.1137,0.5522
8,17,0.4766,0.1059,0.4616
8,18,0.4609,0.0824,0.4452
8,19,0.4844,0.098,0.5167
8,20,0.5234,0.098,0.5094
8,11,0.7031,0.2824,0.7068
8,12,0.7461,0.6039,0.7735
8,13,0.5508,0.1059,0.5132
8,14,0.4258,0.1059,0.41
8,15,0.4453,0.098,0.4442
8,16,0.4805,0.0784,0.4641
8,17,0.4648,0.1137,0.4489
8,18,0.5117,0.098,0.5253
8,19,0.5039,0.098,0.4988
8,20,0.4688,0.0863,0.4565
