task,iter,attack_acc,cv_acc,auc
6,11,0.594,0.164,0.6388
6,12,0.582,0.194,0.5957
6,13,0.582,0.168,0.5985
6,14,0.54,0.156,0.5839
6,15,0.504,0.096,0.4791
6,16,0.566,0.114,0.581
6,17,0.52,0.108,0.5481
6,18,0.506,0.096,0.5055
6,19,0.494,0.094,0.5031
6,20,0.502,0.08,0.4852
6,11,0.494,0.098,0.4942
6,12,0.524,0.15,0.5487
6,13,0.486,0.138,0.4882
6,14,0.524,0.122,0.5311
6,15,0.48,0.112,0.5034
6,16,0.512,0.116,0.5041
6,17,0.494,0.098,0.4904
6,18,0.516,0.092,0.4895
6,19,0.488,0.088,0.4903
6,20,0.542,0.1,0.5296
