task,iter,attack_acc,cv_acc,auc
6,11,0.6562,0.251,0.7223
6,12,0.6445,0.2627,0.6778
6,13,0.5898,0.2588,0.6296
6,14,0.6523,0.2392,0.6421
6,15,0.5273,0.149,0.5605
6,16,0.5859,0.0824,0.5848
6,17,0.5352,0.2039,0.5464
6,18,0.5078,0.1255,0.5085
6,19,0.4844,0.0902,0.456
6,20,0.5273,0.098,0.5427
6,11,0.6914,0.2549,0.7719
6,12,0.6523,0.2118,0.6851
6,13,0.625,0.2706,0.6615
6,14,0.7344,0.6471,0.7589
6,15,0.5586,0.0706,0.6294
6,16,0.5781,0.1098,0.6017
6,17,0.5625,0.1059,0.566
6,18,0.5547,0.1333,0.56
6,19,0.4609,0.1294,0.4812
6,20,0.5156,0.1216,0.477
