task,iter,attack_acc,cv_acc,auc
5,11,0.524,0.102,0.5446
5,12,0.54,0.128,0.5288
5,13,0.546,0.122,0.578
5,14,0.542,0.168,0.5446
5,15,0.584,0.126,0.5982
5,16,0.518,0.088,0.5217
5,17,0.446,0.118,0.4504
5,18,0.538,0.09,0.5624
5,19,0.502,0.14,0.5366
5,20,0.48,0.088,0.5058
5,11,0.498,0.1,0.5013
5,12,0.506,0.106,0.495
5,13,0.48,0.092,0.4858
5,14,0.512,0.096,0.5335
5,15,0.488,0.11,0.4672
5,16,0.498,0.114,0.4833
5,17,0.512,0.108,0.5149
5,18,0.468,0.086,0.4481
5,19,0.458,0.098,0.442
5,20,0.498,0.1,0.4923
