task,iter,attack_acc,cv_acc,auc
3,3,0.67,0.25,0.7767
3,4,0.628,0.216,0.6683
3,5,0.572,0.178,0.5991
3,6,0.558,0.15,0.5682
3,7,0.542,0.152,0.5707
3,8,0.558,0.104,0.5913
3,9,0.54,0.166,0.5812
3,10,0.534,0.114,0.5585
3,3,0.636,0.248,0.7172
3,4,0.636,0.224,0.6805
3,5,0.618,0.21,0.6467
3,6,0.588,0.222,0.6235
3,7,0.552,0.192,0.5683
3,8,0.552,0.166,0.5745
3,9,0.546,0.182,0.587
3,10,0.562,0.1,0.6059
3,3,0.654,0.236,0.7376
3,4,0.602,0.192,0.613
3,5,0.572,0.178,0.5781
3,6,0.544,0.18,0.5529
