task,iter,attack_acc,cv_acc,auc
7,11,0.562,0.172,0.5958
7,12,0.56,0.13,0.5744
7,13,0.544,0.106,0.5311
7,14,0.476,0.086,0.4681
7,15,0.548,0.084,0.5404
7,16,0.498,0.098,0.5014
7,17,0.52,0.112,0.5197
7,18,0.524,0.104,0.5073
7,19,0.498,0.1,0.5268
7,20,0.482,0.094,0.4966
7,11,0.576,0.166,0.5754
7,12,0.532,0.168,0.5479
7,13,0.516,0.144,0.544
