task,iter,attack_acc,cv_acc,auc
6,11,0.486,0.12,0.4927
6,12,0.484,0.104,0.4858
6,13,0.482,0.086,0.445
6,14,0.474,0.106,0.4823
6,15,0.504,0.108,0.5125
6,16,0.498,0.088,0.4845
6,17,0.508,0.084,0.498
6,18,0.486,0.106,0.4751
6,19,0.47,0.084,0.4678
6,20,0.52,0.09,0.5221
6,11,0.544,0.136,0.5692
6,12,0.546,0.182,0.5851
6,13,0.49,0.098,0.4846
6,14,0.496,0.12,0.4724
6,15,0.518,0.11,0.5544
6,16,0.442,0.086,0.4302
6,17,0.524,0.104,0.5397
6,18,0.512,0.096,0.5028
6,19,0.524,0.096,0.5018
6,20,0.52,0.098,0.5369
