task,iter,attack_acc,cv_acc,auc
1,11,0.6641,0.298,0.7232
1,12,0.6406,0.4431,0.7226
1,13,0.6484,0.3922,0.7557
1,14,0.6289,0.2627,0.6627
1,15,0.668,0.5882,0.703
1,16,0.5938,0.4235,0.5904
1,17,0.668,0.251,0.7058
1,18,0.6055,0.1569,0.6006
1,19,0.5508,0.1373,0.5682
1,20,0.5508,0.1333,0.5605
1,11,0.7031,0.2471,0.7651
1,12,0.7422,0.6431,0.7859
1,13,0.7344,0.2706,0.7541
1,14,0.707,0.6863,0.7564
1,15,0.6641,0.6314,0.6857
1,16,0.6875,0.2392,0.762
1,17,0.7305,0.6824,0.7872
1,18,0.6992,0.4,0.7309
1,19,0.6836,0.2431,0.697
1,20,0.5469,0.1961,0.564
