task,iter,attack_acc,cv_acc,auc
3,11,0.48,0.096,0.483
3,12,0.528,0.112,0.551
3,13,0.492,0.106,0.5214
3,14,0.528,0.096,0.5452
3,15,0.544,0.114,0.5483
3,16,0.522,0.102,0.5377
3,17,0.494,0.126,0.5067
3,18,0.454,0.084,0.4512
3,19,0.506,0.112,0.4983
3,20,0.46,0.13,0.4506
3,11,0.534,0.094,0.5273
3,12,0.54,0.096,0.5488
3,13,0.488,0.094,0.4901
3,14,0.464,0.104,0.4504
3,15,0.518,0.106,0.5071
3,16,0.512,0.114,0.5031
3,17,0.486,0.098,0.4699
3,18,0.49,0.104,0.4801
3,19,0.496,0.11,0.4927
3,20,0.498,0.102,0.4866
