task,iter,attack_acc,cv_acc,auc
2,2,0.6562,0.2745,0.7553
2,3,0.7266,0.7137,0.7959
2,4,0.7734,0.5725,0.842
2,5,0.7852,0.7255,0.903
2,6,0.7539,0.7255,0.9075
2,7,0.7578,0.7647,0.8723
2,8,0.7422,0.7216,0.8554
2,9,0.7422,0.7647,0.9079
2,10,0.7734,0.7098,0.8411
2,2,0.6367,0.2196,0.7196
2,2,0.6211,0.2039,0.6828
2,3,0.6992,0.2588,0.7435
2,4,0.6641,0.2549,0.7615
2,5,0.6953,0.2588,0.752
2,6,0.7422,0.5686,0.8231
2,7,0.7266,0.4431,0.7723
2,8,0.7031,0.2549,0.7672
2,9,0.6953,0.6863,0.7565
2,10,0.7148,0.6549,0.7639
