task,iter,attack_acc,cv_acc,auc
1,11,0.502,0.098,0.5229
1,12,0.52,0.112,0.535
1,13,0.53,0.092,0.544
1,14,0.5,0.096,0.5198
1,15,0.45,0.11,0.4519
1,16,0.496,0.088,0.5094
1,17,0.506,0.122,0.5041
1,18,0.54,0.092,0.5268
1,19,0.48,0.096,0.4881
1,20,0.498,0.112,0.5247
1,11,0.458,0.1,0.4753
1,12,0.496,0.094,0.4663
1,13,0.5,0.096,0.5324
1,14,0.504,0.122,0.5105
1,15,0.478,0.094,0.4755
1,16,0.494,0.102,0.4769
1,17,0.506,0.114,0.4951
1,18,0.508,0.102,0.5027
1,19,0.496,0.096,0.5007
1,20,0.514,0.1,0.5094
