task,iter,attack_acc,cv_acc,auc
6,11,0.7461,0.7412,0.8016
6,12,0.75,0.7137,0.8105
6,13,0.7578,0.6863,0.8047
6,14,0.7461,0.6627,0.8033
6,15,0.5625,0.0902,0.615
6,16,0.5234,0.2314,0.5464
6,17,0.5508,0.1569,0.6132
6,18,0.5586,0.1451,0.6198
6,19,0.5312,0.102,0.5213
6,20,0.4297,0.0902,0.4131
6,11,0.6484,0.2745,0.6677
6,12,0.6641,0.2392,0.6986
6,13,0.6562,0.2431,0.7119
6,14,0.668,0.2745,0.6827
6,15,0.5586,0.1255,0.5874
6,16,0.5312,0.0941,0.5428
6,17,0.5117,0.1059,0.5426
6,18,0.543,0.1804,0.5352
6,19,0.4961,0.1176,0.5187
6,20,0.4766,0.0824,0.4567
