task,iter,attack_acc,cv_acc,auc
4,11,0.568,0.102,0.6191
4,12,0.522,0.092,0.535
4,13,0.5,0.118,0.4971
4,14,0.514,0.114,0.518
4,15,0.51,0.094,0.5245
4,16,0.51,0.118,0.522
4,17,0.508,0.108,0.4936
4,18,0.52,0.1,0.4937
4,19,0.476,0.1,0.4704
4,20,0.498,0.122,0.4901
4,11,0.526,0.112,0.5623
4,12,0.558,0.13,0.5975
4,13,0.494,0.08,0.4936
4,14,0.518,0.112,0.5068
4,15,0.482,0.102,0.4813
4,16,0.514,0.108,0.5055
4,17,0.514,0.098,0.513
4,18,0.51,0.108,0.5028
4,19,0.516,0.102,0.5263
4,20,0.498,0.08,0.5153
