task,iter,attack_acc,cv_acc,auc
4,11,0.58,0.114,0.5891
4,12,0.57,0.084,0.5814
4,13,0.56,0.138,0.5532
4,14,0.51,0.102,0.5092
4,15,0.512,0.098,0.532
4,16,0.528,0.096,0.5549
4,17,0.47,0.096,0.4274
4,18,0.472,0.096,0.4522
4,19,0.514,0.11,0.5077
4,20,0.496,0.082,0.5162
4,11,0.552,0.094,0.581
4,12,0.516,0.102,0.5523
4,13,0.512,0.106,0.5036
4,14,0.534,0.09,0.5422
4,15,0.546,0.09,0.5436
4,16,0.574,0.104,0.5969
4,17,0.492,0.082,0.5125
4,18,0.496,0.104,0.4901
4,19,0.486,0.098,0.4843
4,20,0.488,0.104,0.488
