task,iter,attack_acc,cv_acc,auc
6,11,0.542,0.124,0.5506
6,12,0.53,0.154,0.5804
6,13,0.544,0.106,0.5538
6,14,0.552,0.094,0.5999
6,15,0.538,0.124,0.5313
6,16,0.526,0.092,0.5176
6,17,0.53,0.112,0.5639
6,18,0.508,0.09,0.5007
6,19,0.526,0.124,0.5389
6,20,0.544,0.12,0.558
6,11,0.544,0.112,0.536
6,12,0.556,0.104,0.5632
6,13,0.518,0.126,0.5433
6,14,0.552,0.158,0.576
6,15,0.458,0.102,0.4518
6,16,0.536,0.084,0.5364
6,17,0.46,0.108,0.4867
6,18,0.526,0.114,0.5262
6,19,0.52,0.106,0.5337
6,20,0.464,0.084,0.4659
