task,iter,attack_acc,cv_acc,auc
1,1,0.642,0.232,0.6926
1,2,0.596,0.162,0.6622
1,3,0.552,0.18,0.581
1,4,0.582,0.132,0.6021
1,5,0.514,0.146,0.5228
1,6,0.498,0.12,0.5251
1,7,0.544,0.11,0.585
1,8,0.494,0.114,0.5142
1,9,0.532,0.084,0.5605
1,10,0.448,0.124,0.4502
1,1,0.63,0.23,0.7155
1,2,0.586,0.202,0.6382
1,3,0.566,0.13,0.5904
1,4,0.57,0.152,0.6297
1,5,0.532,0.114,0.5547
1,6,0.534,0.102,0.5844
1,7,0.534,0.12,0.589
1,8,0.51,0.114,0.5814
1,9,0.528,0.144,0.533
1,10,0.536,0.084,0.541
