task,iter,attack_acc,cv_acc,auc
3,3,0.6641,0.2275,0.7378
3,4,0.6836,0.7255,0.7734
3,5,0.6836,0.3059,0.8119
3,6,0.6797,0.2824,0.7411
3,7,0.7266,0.7059,0.8012
3,8,0.7031,0.7333,0.808
3,9,0.7031,0.7294,0.9017
3,10,0.7344,0.698,0.8405
3,3,0.6367,0.2745,0.74
3,4,0.6914,0.7255,0.7888
3,5,0.7305,0.2863,0.7939
3,6,0.7148,0.702,0.8516
3,7,0.7656,0.7059,0.841
3,8,0.7266,0.7294,0.821
3,9,0.7266,0.698,0.8253
3,10,0.7734,0.2941,0.8201
3,3,0.6406,0.2667,0.7336
3,4,0.7109,0.2824,0.7723
3,5,0.7461,0.2863,0.8158
3,6,0.7109,0.2745,0.7977
