task,iter,attack_acc,cv_acc,auc
7,11,0.7344,0.7333,0.8184
7,12,0.7266,0.7176,0.7704
7,13,0.7266,0.3961,0.7884
7,14,0.5312,0.1255,0.502
7,15,0.5234,0.1059,0.4951
7,16,0.5,0.1373,0.479
7,17,0.4453,0.102,0.4649
7,18,0.4648,0.0902,0.4658
7,19,0.5469,0.098,0.5231
7,20,0.4648,0.098,0.4514
7,11,0.6328,0.2471,0.7047
7,12,0.5977,0.1922,0.6041
7,13,0.5938,0.2314,0.615
7,14,0.5273,0.1647,0.5541
7,15,0.5469,0.0902,0.579
7,16,0.5664,0.1216,0.5829
7,17,0.5117,0.1294,0.5334
7,18,0.5312,0.0941,0.5492
7,19,0.5,0.1176,0.5129
7,20,0.5547,0.1373,0.5371
