task,iter,attack_acc,cv_acc,auc
2,11,0.54,0.128,0.539
2,12,0.526,0.114,0.553
2,13,0.516,0.102,0.5131
2,14,0.502,0.14,0.5259
2,15,0.518,0.118,0.511
2,16,0.542,0.116,0.5571
2,17,0.548,0.118,0.547
2,18,0.504,0.116,0.5081
2,19,0.47,0.096,0.4535
2,20,0.492,0.114,0.499
2,11,0.542,0.108,0.5255
2,12,0.52,0.1,0.5509
2,13,0.502,0.116,0.5262
2,14,0.488,0.086,0.4726
2,15,0.536,0.114,0.555
2,16,0.464,0.096,0.481
2,17,0.518,0.102,0.5186
2,18,0.554,0.112,0.5387
2,19,0.496,0.102,0.5147
2,20,0.512,0.088,0.4954
