task,iter,attack_acc,cv_acc,auc
1,11,0.7344,0.2667,0.8721
1,12,0.7812,0.3333,0.877
1,13,0.7188,0.75,0.915
1,14,0.7031,0.7667,0.8281
1,15,0.7031,0.3333,0.918
1,16,0.8281,0.7333,0.9385
1,17,0.6875,0.7667,0.7349
1,18,0.75,0.7167,0.7598
1,19,0.6875,0.7167,0.7607
1,20,0.6562,0.65,0.624
1,11,0.7969,0.7333,0.8584
1,12,0.7188,0.7167,0.8979
1,13,0.75,0.7333,0.8413
1,14,0.75,0.7667,0.8965
1,15,0.7188,0.75,0.8086
1,16,0.7344,0.7167,0.8613
1,17,0.7031,0.2667,0.7959
1,18,0.7344,0.6667,0.7725
1,19,0.6719,0.7667,0.8945
1,20,0.7344,0.6833,0.7632
