task,iter,attack_acc,cv_acc,auc
2,11,0.7344,0.3167,0.9326
2,12,0.6719,0.7333,0.8799
2,13,0.75,0.3333,0.9141
2,14,0.7656,0.25,0.8843
2,15,0.7188,0.7,0.9199
2,16,0.6875,0.7,0.9199
2,17,0.75,0.75,0.8838
2,18,0.6875,0.2833,0.8887
2,19,0.7969,0.6333,0.8301
2,20,0.6562,0.55,0.7124
2,11,0.7812,0.75,0.9697
2,12,0.7812,0.6667,0.998
2,13,0.6562,0.8333,0.9521
2,14,0.7656,0.7333,0.9531
2,15,0.6875,0.7667,0.8203
2,16,0.7656,0.7833,0.915
2,17,0.7812,0.75,0.9521
2,18,0.8281,0.7667,0.9609
2,19,0.6406,0.7667,0.793
2,20,0.7656,0.3167,0.7925
