task,iter,attack_acc,cv_acc,auc
7,11,0.528,0.152,0.5657
7,12,0.524,0.146,0.5285
7,13,0.508,0.168,0.5276
7,14,0.508,0.112,0.5294
7,15,0.524,0.11,0.5124
7,16,0.514,0.104,0.5123
7,17,0.508,0.11,0.5206
7,18,0.522,0.11,0.5345
7,19,0.52,0.11,0.5167
7,20,0.526,0.09,0.5344
7,11,0.524,0.094,0.5484
7,12,0.504,0.116,0.5048
7,13,0.536,0.104,0.562
7,14,0.542,0.1,0.5593
7,15,0.484,0.172,0.487
7,16,0.484,0.138,0.483
7,17,0.492,0.098,0.5209
7,18,0.53,0.096,0.5511
7,19,0.504,0.092,0.4964
7,20,0.49,0.106,0.4813
