0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.19126315789473683],[0.24073684210526317],[0.29547368421052633],[0.32225263157894735],[0.36122105263157894],[0.3878315789473684],[0.41322105263157893],[0.43322105263157895],[0.47734736842105263],[0.5040631578947369],[0.5315578947368421],[0.45317894736842107],[0.43326315789473685],[0.4109894736842105],[0.38037894736842104],[0.3572842105263158],[0.33833684210526316],[0.3101684210526316],[0.27797894736842105],[0.24981052631578948],[0.22147368421052632]
[0.1896421052631579],[0.24225263157894736],[0.2724842105263158],[0.3040421052631579],[0.3203578947368421],[0.3473263157894737],[0.38433684210526314],[0.4190315789473684],[0.4436421052631579],[0.48126315789473684],[0.5162526315789474],[0.4598315789473684],[0.4211157894736842],[0.39993684210526315],[0.3754736842105263],[0.3529263157894737],[0.3289684210526316],[0.3004421052631579],[0.2657473684210526],[0.24286315789473684],[0.21926315789473685]
[0.18869473684210528],[0.24183157894736843],[0.28037894736842106],[0.31349473684210527],[0.3391157894736842],[0.3631578947368421],[0.4004842105263158],[0.4365894736842105],[0.4632631578947368],[0.4924842105263158],[0.5324842105263158],[0.47713684210526314],[0.42778947368421055],[0.41797894736842106],[0.39856842105263157],[0.3665473684210526],[0.34625263157894737],[0.32429473684210525],[0.29934736842105264],[0.2672842105263158],[0.2257684210526316]
