0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.646],[0.574],[0.524],[0.58],[0.578],[0.588],[0.572],[0.604],[0.618],[0.618],[0.612],[0.576],[0.532],[0.53],[0.508],[0.502],[0.538],[0.476],[0.49],[0.512],[0.482]
[0.734],[0.67],[0.674],[0.644],[0.672],[0.626],[0.678],[0.688],[0.662],[0.668],[0.668],[0.638],[0.602],[0.626],[0.628],[0.582],[0.614],[0.588],[0.576],[0.564],[0.61]
[0.768],[0.712],[0.688],[0.67],[0.68],[0.648],[0.664],[0.668],[0.686],[0.624],[0.67],[0.61],[0.58],[0.586],[0.574],[0.566],[0.588],[0.588],[0.584],[0.61],[0.538]
