0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.9508],[0.8336],[0.746],[0.7212],[0.6696],[0.6992],[0.7096],[0.694],[0.6876],[0.6704],[0.6632],[0.516],[0.554],[0.534],[0.5472],[0.5532],[0.5704],[0.48],[0.5248],[0.4808],[0.456]
[0.9036],[0.7844],[0.7296],[0.734],[0.7152],[0.7076],[0.7448],[0.7036],[0.6868],[0.6956],[0.678],[0.6608],[0.6032],[0.612],[0.5756],[0.5256],[0.5776],[0.5616],[0.5488],[0.4632],[0.3876]
[0.894],[0.7716],[0.66],[0.6184],[0.6132],[0.6132],[0.5888],[0.5896],[0.5728],[0.5644],[0.5688],[0.396],[0.3932],[0.4484],[0.4692],[0.4572],[0.4688],[0.4276],[0.4584],[0.4572],[0.4064]
