0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.2083157894736842],[0.2325263157894737],[0.2562105263157895],[0.28442105263157896],[0.30957894736842106],[0.3312631578947368],[0.352],[0.3646315789473684],[0.39621052631578946],[0.41757894736842105],[0.4416842105263158],[0.36210526315789476],[0.3526315789473684],[0.3336842105263158],[0.33421052631578946],[0.32052631578947366],[0.3062105263157895],[0.27042105263157895],[0.27789473684210525],[0.23694736842105263],[0.2308421052631579]
[0.21378947368421053],[0.24410526315789474],[0.2595789473684211],[0.2812631578947368],[0.29547368421052633],[0.3198947368421053],[0.35326315789473683],[0.3756842105263158],[0.3977894736842105],[0.4321052631578947],[0.4388421052631579],[0.3471578947368421],[0.3450526315789474],[0.33789473684210525],[0.3257894736842105],[0.29905263157894735],[0.2808421052631579],[0.29789473684210527],[0.2637894736842105],[0.25926315789473686],[0.23115789473684212]
[0.20010526315789473],[0.23663157894736842],[0.27042105263157895],[0.28526315789473683],[0.3024210526315789],[0.3177894736842105],[0.3271578947368421],[0.3626315789473684],[0.3798947368421053],[0.4051578947368421],[0.44852631578947366],[0.3571578947368421],[0.3257894736842105],[0.34421052631578947],[0.3235789473684211],[0.2888421052631579],[0.296421052631579],[0.2790526315789474],[0.26842105263157895],[0.2523157894736842],[0.2211578947368421]
