0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.774],[0.728],[0.692],[0.664],[0.638],[0.678],[0.664],[0.676],[0.674],[0.656],[0.656],[0.482],[0.514],[0.498],[0.524],[0.506],[0.538],[0.444],[0.462],[0.42],[0.386]
[0.774],[0.72],[0.67],[0.67],[0.658],[0.684],[0.718],[0.694],[0.672],[0.654],[0.648],[0.634],[0.556],[0.588],[0.542],[0.464],[0.57],[0.534],[0.518],[0.422],[0.344]
[0.688],[0.668],[0.576],[0.532],[0.554],[0.546],[0.526],[0.544],[0.534],[0.512],[0.52],[0.354],[0.34],[0.402],[0.436],[0.414],[0.44],[0.392],[0.41],[0.402],[0.308]
