0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
[0.20974736842105263],[0.24770526315789473],[0.2732842105263158],[0.3138315789473684],[0.34393684210526315],[0.3701052631578947],[0.40050526315789475],[0.4201894736842105],[0.4548842105263158],[0.4849263157894737],[0.5166947368421053],[0.40625263157894737],[0.3957684210526316],[0.3759578947368421],[0.3777052631578947],[0.35932631578947366],[0.34277894736842107],[0.29978947368421055],[0.3104421052631579],[0.26437894736842105],[0.2556421052631579]
[0.21642105263157896],[0.2517894736842105],[0.28054736842105266],[0.31317894736842106],[0.3359157894736842],[0.3664842105263158],[0.40602105263157895],[0.4284421052631579],[0.4543578947368421],[0.4908],[0.5090736842105263],[0.3879578947368421],[0.39557894736842103],[0.3795368421052632],[0.36570526315789476],[0.33686315789473686],[0.32197894736842103],[0.3330736842105263],[0.2941263157894737],[0.27637894736842106],[0.2400842105263158]
[0.19846315789473684],[0.24856842105263158],[0.2920842105263158],[0.3182315789473684],[0.3407578947368421],[0.36928421052631577],[0.3873263157894737],[0.42082105263157893],[0.44602105263157893],[0.47557894736842105],[0.5195368421052632],[0.40762105263157894],[0.3622947368421053],[0.3740842105263158],[0.3608421052631579],[0.3278315789473684],[0.32926315789473687],[0.31096842105263156],[0.3004842105263158],[0.27242105263157895],[0.23814736842105264]
