task,stage,attack_acc,cv_acc,auc
10,pre,0.6094,0.1843,0.6689
10,post,0.5508,0.1373,0.5919
9,pre,0.6406,0.2196,0.6768
9,post,0.4766,0.0824,0.4373
8,pre,0.7461,0.6706,0.8152
8,post,0.5742,0.302,0.6085
7,pre,0.7422,0.702,0.8299
7,post,0.6094,0.1216,0.6472
6,pre,0.7656,0.7255,0.832
6,post,0.707,0.5686,0.7499
5,pre,0.7734,0.6784,0.8663
5,post,0.6602,0.498,0.7174
4,pre,0.7539,0.8039,0.7811
4,post,0.7031,0.4824,0.7583
3,pre,0.8086,0.7765,0.8536
3,post,0.6484,0.5216,0.7266
2,pre,0.8359,0.7922,0.845
2,post,0.7734,0.6157,0.8428
1,pre,0.8789,0.8941,0.9401
1,post,0.7266,0.6,0.7899
10,pre,0.6406,0.2196,0.6671
10,post,0.5234,0.1529,0.5038
9,pre,0.625,0.2314,0.682
9,post,0.5508,0.1333,0.5576
8,pre,0.7266,0.5216,0.7656
8,post,0.6289,0.3216,0.7071
7,pre,0.7422,0.6863,0.8217
7,post,0.6016,0.1255,0.6406
6,pre,0.7344,0.6118,0.799
6,post,0.6992,0.2039,0.7374
5,pre,0.7656,0.7412,0.8257
5,post,0.6836,0.5255,0.7737
4,pre,0.75,0.7216,0.814
4,post,0.6953,0.2667,0.7513
3,pre,0.7109,0.5529,0.7693
3,post,0.6875,0.5882,0.7381
2,pre,0.7461,0.7098,0.8267
2,post,0.7266,0.5882,0.7901
1,pre,0.8242,0.7843,0.8583
1,post,0.7578,0.6745,0.831
10,pre,0.6094,0.1961,0.6057
10,post,0.5078,0.0941,0.4944
9,pre,0.707,0.7373,0.7533
9,post,0.582,0.1137,0.6195
8,pre,0.707,0.698,0.7601
8,post,0.582,0.4235,0.6087
7,pre,0.7578,0.5843,0.7747
7,post,0.6406,0.5529,0.7037
6,pre,0.75,0.6902,0.8332
6,post,0.6523,0.1529,0.7015
5,pre,0.8633,0.851,0.868
5,post,0.7266,0.6667,0.8193
4,pre,0.7539,0.6196,0.8446
4,post,0.668,0.5765,0.7127
3,pre,0.8203,0.7529,0.8591
3,post,0.7109,0.5608,0.7902
2,pre,0.7578,0.6784,0.8039
2,post,0.6602,0.6431,0.7598
1,pre,0.7344,0.702,0.7911
1,post,0.6602,0.3137,0.6991
