task,stage,attack_acc,cv_acc,auc
10,pre,0.6289,0.2588,0.6341
10,post,0.6406,0.1922,0.6764
9,pre,0.6602,0.2314,0.7157
9,post,0.5703,0.1176,0.6277
8,pre,0.6836,0.2667,0.7179
8,post,0.6094,0.1294,0.6172
7,pre,0.6367,0.2627,0.695
7,post,0.5859,0.1451,0.5857
6,pre,0.6875,0.2549,0.7362
6,post,0.6133,0.2118,0.6445
5,pre,0.7344,0.6353,0.8276
5,post,0.668,0.4196,0.7491
4,pre,0.7578,0.6863,0.8272
4,post,0.6602,0.6039,0.7163
3,pre,0.6875,0.5882,0.7277
3,post,0.6602,0.6824,0.727
2,pre,0.6953,0.6588,0.6784
2,post,0.6836,0.2118,0.7391
1,pre,0.6992,0.7059,0.7581
1,post,0.707,0.6745,0.7923
10,pre,0.6562,0.2392,0.6812
10,post,0.6367,0.1922,0.7055
9,pre,0.6562,0.302,0.7455
9,post,0.5469,0.1098,0.5751
8,pre,0.625,0.2745,0.6702
8,post,0.5156,0.1137,0.5341
7,pre,0.6953,0.2471,0.7234
7,post,0.5469,0.2,0.6296
6,pre,0.6562,0.2706,0.6888
6,post,0.5078,0.149,0.5365
5,pre,0.5742,0.2039,0.626
5,post,0.5391,0.1882,0.5489
4,pre,0.6562,0.6667,0.7432
4,post,0.6133,0.2118,0.6517
3,pre,0.7109,0.702,0.7638
3,post,0.6602,0.2275,0.6941
2,pre,0.707,0.6471,0.7798
2,post,0.6328,0.5843,0.6877
1,pre,0.7852,0.7176,0.8429
1,post,0.6992,0.5961,0.7642
10,pre,0.6055,0.251,0.6288
10,post,0.6172,0.2039,0.6707
9,pre,0.6758,0.2627,0.7342
9,post,0.5469,0.1608,0.6084
8,pre,0.6875,0.4078,0.7494
8,post,0.582,0.1765,0.5863
7,pre,0.6484,0.2235,0.724
7,post,0.418,0.098,0.393
6,pre,0.6797,0.2902,0.7674
6,post,0.5859,0.1255,0.6784
5,pre,0.707,0.6745,0.7858
5,post,0.6914,0.5529,0.7723
4,pre,0.8125,0.7529,0.8825
4,post,0.707,0.6667,0.766
3,pre,0.7344,0.6627,0.8072
3,post,0.7461,0.6627,0.801
2,pre,0.6875,0.6745,0.7547
2,post,0.6094,0.4863,0.6421
1,pre,0.6172,0.2549,0.7249
1,post,0.5898,0.3255,0.6398
