Iteration,Class,Accuracy (%)
0,0,0.0
0,1,32.0
0,2,6.7
0,3,0.0
0,4,0.0
0,5,3.8
0,6,0.0
0,7,0.0
0,8,52.4
0,9,0.0
1,0,93.1
1,1,65.2
1,2,0.2
1,3,0.0
1,4,3.4
1,5,2.0
1,6,0.0
1,7,0.0
1,8,4.2
1,9,0.0
2,0,78.5
2,1,47.6
2,2,73.8
2,3,79.0
2,4,75.7
2,5,59.3
2,6,72.3
2,7,56.8
2,8,51.7
2,9,77.6
3,0,86.9
3,1,48.2
3,2,79.7
3,3,80.9
3,4,67.2
3,5,49.7
3,6,80.1
3,7,63.8
3,8,62.2
3,9,78.8
4,0,94.4
4,1,74.7
4,2,88.8
4,3,89.2
4,4,3.3
4,5,0.5
4,6,81.3
4,7,65.9
4,8,77.4
4,9,84.4
5,0,94.5
5,1,73.6
5,2,89.8
5,3,90.0
5,4,6.3
5,5,1.2
5,6,87.6
5,7,75.7
5,8,68.5
5,9,75.8
