0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[0.758],[0.494],[0.614],[0.594],[0.536],[0.546],[0.636],[0.632],[0.606],[0.658],[0.568],[0.666],[0.654],[0.596],[0.588],[0.592],[0.666],[0.682],[0.662],[0.608],[0.608],[0.62],[0.622],[0.64],[0.612],[0.628]
[0.57],[0.486],[0.512],[0.504],[0.502],[0.524],[0.578],[0.554],[0.526],[0.61],[0.582],[0.66],[0.658],[0.61],[0.582],[0.582],[0.654],[0.638],[0.618],[0.622],[0.628],[0.646],[0.626],[0.632],[0.632],[0.614]
