run,task,auc
0,5,0.49224
0,4,0.476368
0,3,0.513312
0,2,0.5087039999999999
0,1,0.49585599999999996
1,5,0.47376
1,4,0.469152
1,3,0.48047200000000007
1,2,0.5175360000000001
1,1,0.509376
2,5,0.53012
2,4,0.521632
2,3,0.5179680000000001
2,2,0.5183679999999999
2,1,0.45454399999999995
