run,task,auc
0,5,0.492048
0,4,0.46729600000000004
0,3,0.495648
0,2,0.503328
0,1,0.5202720000000001
1,5,0.485256
1,4,0.477248
1,3,0.419408
1,2,0.48540000000000005
1,1,0.48785600000000007
2,5,0.494656
2,4,0.480624
2,3,0.49780800000000003
2,2,0.502256
2,1,0.5210079999999999
