run,task,attack_acc
0,5,0.486
0,4,0.472
0,3,0.508
0,2,0.516
0,1,0.502
1,5,0.482
1,4,0.484
1,3,0.508
1,2,0.496
1,1,0.486
2,5,0.528
2,4,0.522
2,3,0.512
2,2,0.532
2,1,0.482
