task,stage,attack_acc,cv_acc,auc
0,pre,0.55,0.132,0.5595
0,pre,0.542,0.082,0.5524
0,pre,0.54,0.132,0.5599
0,pre,0.54,0.132,0.5465
0,pre,0.478,0.106,0.4958
0,pre,0.494,0.112,0.5422
0,pre,0.528,0.114,0.559
0,pre,0.51,0.102,0.536
0,pre,0.514,0.104,0.5367
0,pre,0.512,0.1,0.5281
0,pre,0.554,0.098,0.5732
