run,task,auc
0,5,0.5403359999999999
0,4,0.511408
0,3,0.513024
0,2,0.503376
0,1,0.49848000000000003
1,5,0.501584
1,4,0.527936
1,3,0.5436
1,2,0.51544
1,1,0.46240000000000003
2,5,0.559024
2,4,0.5180480000000001
2,3,0.44472
2,2,0.488296
2,1,0.45420799999999995
