algorithm,mean,std
neggrad,0.5852,0.0575
neggem,0.5055,0.0327
RL-AGEM,0.5054,0.0161
ALT-NEGGEM,0.4986,0.023
RL-GEM,0.493,0.0217
negagem,0.4887,0.024
