run,task,attack_acc
0,5,0.53
0,4,0.504
0,3,0.524
0,2,0.504
0,1,0.48
1,5,0.5
1,4,0.52
1,3,0.526
1,2,0.502
1,1,0.5
2,5,0.52
2,4,0.514
2,3,0.46
2,2,0.5
2,1,0.476
