run,task,auc
0,5,0.49348800000000004
0,4,0.48406400000000005
0,3,0.518432
0,2,0.49738400000000005
0,1,0.539632
1,5,0.517216
1,4,0.510704
1,3,0.5161600000000001
1,2,0.47808
1,1,0.509152
2,5,0.518
2,4,0.48715200000000003
2,3,0.5057119999999999
2,2,0.497616
2,1,0.508912
