run,task,attack_acc
0,5,0.458
0,4,0.492
0,3,0.508
0,2,0.496
0,1,0.52
1,5,0.502
1,4,0.512
1,3,0.508
1,2,0.476
1,1,0.532
2,5,0.522
2,4,0.454
2,3,0.51
2,2,0.494
2,1,0.474
