run,task,attack_acc
0,5,0.472
0,4,0.482
0,3,0.496
0,2,0.488
0,1,0.486
1,5,0.504
1,4,0.48
1,3,0.446
1,2,0.488
1,1,0.48
2,5,0.486
2,4,0.498
2,3,0.498
2,2,0.496
2,1,0.514
