run,task,attack_acc
0,5,0.484
0,4,0.47
0,3,0.522
0,2,0.512
0,1,0.528
1,5,0.504
1,4,0.514
1,3,0.51
1,2,0.476
1,1,0.534
2,5,0.53
2,4,0.496
2,3,0.492
2,2,0.496
2,1,0.522
