run,task,auc
0,5,0.46531200000000006
0,4,0.504464
0,3,0.513088
0,2,0.494096
0,1,0.519984
1,5,0.505392
1,4,0.49688
1,3,0.522384
1,2,0.46608
1,1,0.51272
2,5,0.485008
2,4,0.45939199999999997
2,3,0.48705600000000004
2,2,0.5030239999999999
2,1,0.460128
