Algorithm,Training Set,Buffer
ALT-NEGGEM,0.025501582583943964,0.040726261709824865
RL-AGEM,0.01590973281404452,0.03687775595028219
RL-GEM,0.024457072450666327,0.05169738828371451
negagem,0.03973419665638873,0.06245097470073168
neggem,0.021560893832518704,0.0494956559241025
neggrad,0.025885803472725573,0.03587043898333476
