0,1,2,3,4,5,6,7,8,9,10
[0.7248],[0.6608],[0.662],[0.6812],[0.5676],[0.6612],[0.3352],[0.6248],[0.4556],[0.4572],[0.5732]
[0.5352],[0.5508],[0.5524],[0.5252],[0.6184],[0.5608],[0.3632],[0.282],[0.4788],[0.4116],[0.4128]
[0.7084],[0.5988],[0.7116],[0.708],[0.6712],[0.7308],[0.352],[0.3724],[0.264],[0.3592],[0.3852]
