task,stage,attack_acc,cv_acc,auc
10,pre,0.736,0.298,0.8114
10,post,0.554,0.11,0.6037
9,pre,0.598,0.21,0.6484
9,post,0.538,0.146,0.5489
8,pre,0.532,0.162,0.5553
8,post,0.526,0.086,0.5452
7,pre,0.58,0.18,0.614
7,post,0.54,0.094,0.5402
6,pre,0.566,0.112,0.5952
6,post,0.522,0.13,0.5222
5,pre,0.538,0.09,0.5468
5,post,0.53,0.082,0.5284
4,pre,0.532,0.108,0.5457
4,post,0.476,0.09,0.4618
3,pre,0.528,0.098,0.5714
3,post,0.506,0.106,0.4924
2,pre,0.556,0.108,0.5744
2,post,0.556,0.104,0.5587
1,pre,0.53,0.09,0.5409
1,post,0.492,0.098,0.5031
10,pre,0.732,0.248,0.7712
10,post,0.556,0.13,0.5686
9,pre,0.588,0.216,0.6104
9,post,0.52,0.122,0.5204
8,pre,0.608,0.26,0.6337
8,post,0.578,0.1,0.6184
7,pre,0.562,0.092,0.5817
7,post,0.492,0.082,0.5021
6,pre,0.56,0.092,0.5714
6,post,0.522,0.114,0.5229
5,pre,0.534,0.138,0.5585
5,post,0.504,0.094,0.5314
4,pre,0.51,0.11,0.546
4,post,0.466,0.102,0.4744
3,pre,0.524,0.144,0.5523
3,post,0.522,0.098,0.5512
2,pre,0.566,0.078,0.5529
2,post,0.528,0.092,0.5181
1,pre,0.486,0.134,0.4704
1,post,0.47,0.096,0.483
10,pre,0.676,0.27,0.7277
10,post,0.542,0.104,0.5495
9,pre,0.584,0.208,0.6261
9,post,0.528,0.14,0.5482
8,pre,0.564,0.108,0.6053
8,post,0.46,0.128,0.4461
7,pre,0.536,0.098,0.5472
7,post,0.528,0.096,0.5479
6,pre,0.534,0.108,0.5513
6,post,0.49,0.09,0.4936
5,pre,0.566,0.104,0.5809
5,post,0.54,0.124,0.539
4,pre,0.528,0.106,0.5461
4,post,0.528,0.11,0.5462
3,pre,0.556,0.11,0.5738
3,post,0.504,0.098,0.4919
2,pre,0.54,0.084,0.5383
2,post,0.502,0.094,0.4832
1,pre,0.516,0.09,0.5234
1,post,0.522,0.094,0.5089
