task,stage,attack_acc,cv_acc,auc
10,pre,0.696,0.252,0.7388
10,post,0.512,0.108,0.5392
9,pre,0.568,0.224,0.6051
9,post,0.554,0.12,0.5605
8,pre,0.59,0.142,0.5869
8,post,0.522,0.1,0.5133
7,pre,0.57,0.152,0.6006
7,post,0.554,0.114,0.5607
6,pre,0.54,0.116,0.5799
6,post,0.552,0.1,0.5622
5,pre,0.514,0.166,0.547
5,post,0.528,0.106,0.545
4,pre,0.538,0.102,0.53
4,post,0.54,0.112,0.5373
3,pre,0.588,0.096,0.6015
3,post,0.554,0.092,0.5657
2,pre,0.548,0.108,0.5432
2,post,0.504,0.102,0.522
1,pre,0.492,0.106,0.5116
1,post,0.474,0.102,0.4855
10,pre,0.73,0.292,0.7832
10,post,0.59,0.118,0.6282
9,pre,0.552,0.172,0.5536
9,post,0.48,0.104,0.4846
8,pre,0.56,0.138,0.5802
8,post,0.488,0.088,0.491
7,pre,0.564,0.11,0.5792
7,post,0.518,0.106,0.532
6,pre,0.518,0.096,0.5345
6,post,0.456,0.102,0.4498
5,pre,0.526,0.102,0.562
5,post,0.528,0.1,0.5109
4,pre,0.538,0.114,0.5633
4,post,0.534,0.122,0.551
3,pre,0.542,0.098,0.5986
3,post,0.52,0.098,0.5402
2,pre,0.468,0.118,0.4359
2,post,0.484,0.088,0.4806
1,pre,0.532,0.128,0.542
1,post,0.49,0.12,0.4872
10,pre,0.628,0.188,0.659
10,post,0.482,0.096,0.4724
9,pre,0.54,0.146,0.5296
9,post,0.49,0.092,0.4779
8,pre,0.572,0.196,0.6088
8,post,0.562,0.128,0.5714
7,pre,0.516,0.086,0.5468
7,post,0.504,0.096,0.4955
6,pre,0.564,0.104,0.5857
6,post,0.508,0.11,0.5283
5,pre,0.568,0.112,0.5562
5,post,0.538,0.084,0.522
4,pre,0.512,0.192,0.525
4,post,0.49,0.106,0.5178
3,pre,0.434,0.096,0.4151
3,post,0.518,0.08,0.5106
2,pre,0.526,0.116,0.5419
2,post,0.514,0.108,0.5231
1,pre,0.518,0.094,0.5282
1,post,0.474,0.106,0.4694
