0,1,2,3,4,5,6,7,8,9,10
[0.5472],[0.3892],[0.4276],[0.3576],[0.4816],[0.4836],[0.5492],[0.5384],[0.5324],[0.5008],[0.4536]
[0.6612],[0.6728],[0.5964],[0.6244],[0.5252],[0.5012],[0.6184],[0.5592],[0.5888],[0.6256],[0.4856]
[0.6952],[0.5312],[0.5708],[0.6292],[0.5904],[0.6908],[0.5876],[0.6544],[0.646],[0.6288],[0.6092]
