0,1,2,3,4,5,6,7,8,9,10
[0.18347368421052632],[0.2103157894736842],[0.2448421052631579],[0.25305263157894736],[0.2785263157894737],[0.30673684210526314],[0.28526315789473683],[0.27094736842105266],[0.26252631578947366],[0.21673684210526314],[0.19842105263157894]
[0.20884210526315788],[0.22357894736842104],[0.26189473684210524],[0.2926315789473684],[0.30347368421052634],[0.3156842105263158],[0.29673684210526313],[0.28189473684210525],[0.23905263157894738],[0.234],[0.2056842105263158]
[0.19021052631578947],[0.22442105263157894],[0.2511578947368421],[0.2713684210526316],[0.2890526315789474],[0.3121052631578947],[0.2848421052631579],[0.27357894736842103],[0.2514736842105263],[0.2171578947368421],[0.18094736842105263]
