iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.8246521340564605
21,0.8429013063676267
22,0.8688734627222281
23,0.8629739585307408
24,0.8696063540082408
25,0.862618382556009
26,0.8169752109680624
27,0.8048513302980865
28,0.8010088858028366
29,0.7845845647364977
30,0.7811086166051625
31,0.8055667777316049
32,0.7861499551926321
33,0.8071032765761318
34,0.8194630172393244
35,0.8248454695416666
36,0.8557525882785185
37,0.8497785157695471
38,0.9276473874962963
