iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.7360831166619144
21,0.794997891296461
22,0.7677160903275151
23,0.7797468608099074
24,0.8149942876170113
25,0.7780984744296296
26,0.8101121109293861
27,0.7752576038625002
28,0.7951992569329659
29,0.7628090162298666
30,0.764507767986073
31,0.7761700604594136
32,0.7386449275181115
33,0.7836458366776013
34,0.7826508685305679
35,0.7343459480192593
36,0.7424954469688889
37,0.6822529378864196
38,0.6027753021567251
