iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9267692147501387
21,0.8299642113975308
22,0.8615734340207613
23,0.887812158853125
24,0.8636196485973332
25,0.831821298592109
26,0.8340503374466274
27,0.8169113136866668
28,0.7682192972306336
29,0.773644077312
30,0.7247914179842875
31,0.687225784635
32,0.6966671919824176
33,0.733281251047619
34,0.7139173126656
35,0.73722256128
36,0.663737496997647
37,0.7546522478488888
38,0.6952415046063157
