iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.8042581546814404
21,0.8073341754246914
22,0.7916464219681661
23,0.81599952878125
24,0.7789880803328
25,0.8268521794176872
26,0.8373648556686388
27,0.8063222947222222
28,0.8461469391515151
29,0.7890988347424001
30,0.802029343030303
31,0.7885527122666667
32,0.7967482976452119
33,0.8126932302222221
34,0.7200342777472001
35,0.791662843125
36,0.7613238407738563
37,0.7149873086222222
38,0.5466096151578947
