iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.9118881406647377
21,0.8655923448559669
22,0.8690419795665598
23,0.8203533396787036
24,0.8338469271640493
25,0.8081807805750566
26,0.7417181995117499
27,0.7416548638685186
28,0.6260010395063361
29,0.7418490100821334
30,0.8049659022328638
31,0.7940731004648147
32,0.7660434718781323
33,0.8031472607268666
34,0.716040261460701
35,0.7587508519907409
36,0.8282613060074558
37,0.7514534460987654
38,0.773228624
