iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.6748309169915665
21,0.6387496476906083
22,0.6332950252327838
23,0.6817015659499999
24,0.6663584460909565
25,0.639225097614714
26,0.637950936746306
27,0.650368077374074
28,0.6565061163996164
29,0.65546680984
30,0.6423045759786905
31,0.6199873860172223
32,0.6241072763528484
33,0.6360277811380599
34,0.6573686193232909
35,0.6173052262183333
36,0.631282123684609
37,0.5919885084483951
38,0.6320152996266668
