iter,ToW
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.7858531439118498
21,0.6897126710181984
22,0.7784913907815147
23,0.76061871963
24,0.7634418395929179
25,0.7578756862582615
26,0.7420728433328948
27,0.702135721874568
28,0.7357708734851164
29,0.7019979801690074
30,0.6404938932273051
31,0.6648760809847376
32,0.6409932867183068
33,0.6843519715778953
34,0.6134625109505263
35,0.6728202914875
36,0.7774516642300654
37,0.6949813395239505
38,0.6403573668678363
